,Periodo,1.Dólar observado,anio,mes,dia
9276,2008-01-01 00:00:00,,2008,01,01
9277,2008-01-02 00:00:00,496.89,2008,01,02
9278,2008-01-03 00:00:00,498.05,2008,01,03
9279,2008-01-04 00:00:00,496.83,2008,01,04
9280,2008-01-05 00:00:00,,2008,01,05
9281,2008-01-06 00:00:00,,2008,01,06
9282,2008-01-07 00:00:00,495.73,2008,01,07
9283,2008-01-08 00:00:00,495.64,2008,01,08
9284,2008-01-09 00:00:00,490.21,2008,01,09
9285,2008-01-10 00:00:00,487.25,2008,01,10
9286,2008-01-11 00:00:00,484.83,2008,01,11
9287,2008-01-12 00:00:00,,2008,01,12
9288,2008-01-13 00:00:00,,2008,01,13
9289,2008-01-14 00:00:00,480.15,2008,01,14
9290,2008-01-15 00:00:00,471.67,2008,01,15
9291,2008-01-16 00:00:00,471.69,2008,01,16
9292,2008-01-17 00:00:00,478.28,2008,01,17
9293,2008-01-18 00:00:00,476.06,2008,01,18
9294,2008-01-19 00:00:00,,2008,01,19
9295,2008-01-20 00:00:00,,2008,01,20
9296,2008-01-21 00:00:00,476.32,2008,01,21
9297,2008-01-22 00:00:00,482.54,2008,01,22
9298,2008-01-23 00:00:00,480.86,2008,01,23
9299,2008-01-24 00:00:00,479.02,2008,01,24
9300,2008-01-25 00:00:00,471.41,2008,01,25
9301,2008-01-26 00:00:00,,2008,01,26
9302,2008-01-27 00:00:00,,2008,01,27
9303,2008-01-28 00:00:00,467.95,2008,01,28
9304,2008-01-29 00:00:00,469.46,2008,01,29
9305,2008-01-30 00:00:00,463.58,2008,01,30
9306,2008-01-31 00:00:00,465.3,2008,01,31
9307,2008-02-01 00:00:00,465.34,2008,02,01
9308,2008-02-02 00:00:00,,2008,02,02
9309,2008-02-03 00:00:00,,2008,02,03
9310,2008-02-04 00:00:00,464.65,2008,02,04
9311,2008-02-05 00:00:00,466.71,2008,02,05
9312,2008-02-06 00:00:00,472.35,2008,02,06
9313,2008-02-07 00:00:00,474.47,2008,02,07
9314,2008-02-08 00:00:00,476.44,2008,02,08
9315,2008-02-09 00:00:00,,2008,02,09
9316,2008-02-10 00:00:00,,2008,02,10
9317,2008-02-11 00:00:00,473.97,2008,02,11
9318,2008-02-12 00:00:00,468.93,2008,02,12
9319,2008-02-13 00:00:00,465.72,2008,02,13
9320,2008-02-14 00:00:00,466.41,2008,02,14
9321,2008-02-15 00:00:00,464.47,2008,02,15
9322,2008-02-16 00:00:00,,2008,02,16
9323,2008-02-17 00:00:00,,2008,02,17
9324,2008-02-18 00:00:00,465.17,2008,02,18
9325,2008-02-19 00:00:00,463.18,2008,02,19
9326,2008-02-20 00:00:00,464.36,2008,02,20
9327,2008-02-21 00:00:00,469.24,2008,02,21
9328,2008-02-22 00:00:00,468.29,2008,02,22
9329,2008-02-23 00:00:00,,2008,02,23
9330,2008-02-24 00:00:00,,2008,02,24
9331,2008-02-25 00:00:00,466.74,2008,02,25
9332,2008-02-26 00:00:00,467.2,2008,02,26
9333,2008-02-27 00:00:00,466.64,2008,02,27
9334,2008-02-28 00:00:00,463.26,2008,02,28
9335,2008-02-29 00:00:00,458.02,2008,02,29
9336,2008-03-01 00:00:00,,2008,03,01
9337,2008-03-02 00:00:00,,2008,03,02
9338,2008-03-03 00:00:00,453.95,2008,03,03
9339,2008-03-04 00:00:00,454.94,2008,03,04
9340,2008-03-05 00:00:00,453.11,2008,03,05
9341,2008-03-06 00:00:00,449.49,2008,03,06
9342,2008-03-07 00:00:00,444.87,2008,03,07
